ZIP_CODE,PO_NAME,STATE,ZIP_TYPE,ZCTA,zip_join_type
501,Holtsville,NY,Post Office or large volume customer,11742,Spatial join to ZCTA
544,Holtsville,NY,Post Office or large volume customer,11742,Spatial join to ZCTA
601,Adjuntas,PR,Zip Code Area,00601,Zip matches ZCTA
602,Aguada,PR,Zip Code Area,00602,Zip matches ZCTA
603,Aguadilla,PR,Zip Code Area,00603,Zip matches ZCTA
604,Aguadilla,PR,Post Office or large volume customer,00603,Spatial join to ZCTA
605,Aguadilla,PR,Post Office or large volume customer,00603,Spatial join to ZCTA
606,Maricao,PR,Zip Code Area,00606,Zip matches ZCTA
610,Anasco,PR,Zip Code Area,00610,Zip matches ZCTA
611,Angeles,PR,Post Office or large volume customer,00641,Spatial join to ZCTA
612,Arecibo,PR,Zip Code Area,00612,Zip matches ZCTA
613,Arecibo,PR,Post Office or large volume customer,00612,Spatial join to ZCTA
614,Arecibo,PR,Post Office or large volume customer,00612,Spatial join to ZCTA
616,Bajadero,PR,Post Office or large volume customer,00616,Zip matches ZCTA
617,Barceloneta,PR,Zip Code Area,00617,Zip matches ZCTA
622,Boqueron,PR,Post Office or large volume customer,00622,Zip matches ZCTA
623,Cabo Rojo,PR,Zip Code Area,00623,Zip matches ZCTA
624,Penuelas,PR,Zip Code Area,00624,Zip matches ZCTA
627,Camuy,PR,Zip Code Area,00627,Zip matches ZCTA
631,Castaner,PR,Zip Code Area,00631,Zip matches ZCTA
636,Rosario,PR,Post Office or large volume customer,00680,Spatial join to ZCTA
637,Sabana Grande,PR,Zip Code Area,00637,Zip matches ZCTA
638,Ciales,PR,Zip Code Area,00638,Zip matches ZCTA
641,Utuado,PR,Zip Code Area,00641,Zip matches ZCTA
646,Dorado,PR,Zip Code Area,00646,Zip matches ZCTA
647,Ensenada,PR,Zip Code Area,00647,Zip matches ZCTA
650,Florida,PR,Zip Code Area,00650,Zip matches ZCTA
652,Garrochales,PR,Post Office or large volume customer,00652,Zip matches ZCTA
653,Guanica,PR,Zip Code Area,00653,Zip matches ZCTA
656,Guayanilla,PR,Zip Code Area,00656,Zip matches ZCTA
659,Hatillo,PR,Zip Code Area,00659,Zip matches ZCTA
660,Hormigueros,PR,Zip Code Area,00660,Zip matches ZCTA
662,Isabela,PR,Zip Code Area,00662,Zip matches ZCTA
664,Jayuya,PR,Zip Code Area,00664,Zip matches ZCTA
667,Lajas,PR,Zip Code Area,00667,Zip matches ZCTA
669,Lares,PR,Zip Code Area,00669,Zip matches ZCTA
670,Las Marias,PR,Zip Code Area,00670,Zip matches ZCTA
674,Manati,PR,Zip Code Area,00674,Zip matches ZCTA
676,Moca,PR,Zip Code Area,00676,Zip matches ZCTA
677,Rincon,PR,Zip Code Area,00677,Zip matches ZCTA
678,Quebradillas,PR,Zip Code Area,00678,Zip matches ZCTA
680,Mayaguez,PR,Zip Code Area,00680,Zip matches ZCTA
681,Mayaguez,PR,Post Office or large volume customer,00680,Spatial join to ZCTA
682,Mayaguez,PR,Zip Code Area,00682,Zip matches ZCTA
683,San German,PR,Zip Code Area,00683,Zip matches ZCTA
