NAME,DP05_0071PE,DP05_0077PE,DP05_0078PE,DP05_0079PE,DP05_0080PE,DP05_0081PE,DP05_0082PE,DP05_0083PE,DP05_0002PE,DP05_0003PE,DP05_0005PE,DP05_0006PE,DP05_0007PE,DP05_0008PE,DP05_0009PE,DP05_0010PE,DP05_0011PE,DP05_0012PE,DP05_0013PE,DP05_0014PE,DP05_0015PE,DP05_0016PE,DP05_0017PE
Geographic Area Name,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,Percent!!SEX AND AGE!!Total population!!Male,Percent!!SEX AND AGE!!Total population!!Female,Percent!!SEX AND AGE!!Total population!!Under 5 years,Percent!!SEX AND AGE!!Total population!!5 to 9 years,Percent!!SEX AND AGE!!Total population!!10 to 14 years,Percent!!SEX AND AGE!!Total population!!15 to 19 years,Percent!!SEX AND AGE!!Total population!!20 to 24 years,Percent!!SEX AND AGE!!Total population!!25 to 34 years,Percent!!SEX AND AGE!!Total population!!35 to 44 years,Percent!!SEX AND AGE!!Total population!!45 to 54 years,Percent!!SEX AND AGE!!Total population!!55 to 59 years,Percent!!SEX AND AGE!!Total population!!60 to 64 years,Percent!!SEX AND AGE!!Total population!!65 to 74 years,Percent!!SEX AND AGE!!Total population!!75 to 84 years,Percent!!SEX AND AGE!!Total population!!85 years and over
ZCTA5 00601,99.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,49.9,50.1,4.7,4.9,7.4,6.6,6.7,12.5,11.2,13.8,6.5,7.5,10.5,5.7,2.0
ZCTA5 00602,92.5,6.7,0.0,0.1,0.0,0.0,0.2,0.4,49.0,51.0,4.0,5.5,5.1,6.3,6.8,12.3,12.4,14.2,7.0,8.2,10.9,5.9,1.3
ZCTA5 00603,97.4,1.7,0.2,0.0,0.1,0.0,0.3,0.3,49.1,50.9,4.4,4.8,6.6,6.6,6.5,11.9,12.6,12.6,6.1,6.7,12.3,7.2,1.6
ZCTA5 00606,99.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,50.1,49.9,4.3,4.7,5.8,6.4,7.4,9.5,13.5,13.8,6.1,8.7,12.0,3.6,4.3
ZCTA5 00610,95.1,4.4,0.0,0.0,0.0,0.0,0.2,0.3,48.4,51.6,3.9,5.0,6.0,6.4,6.9,11.6,12.8,14.3,6.8,6.3,11.4,7.1,1.5
ZCTA5 00612,99.1,0.6,0.1,0.0,0.0,0.0,0.1,0.0,47.2,52.8,4.5,4.7,6.6,6.6,6.5,12.0,12.1,12.7,6.6,6.1,11.8,7.3,2.5
ZCTA5 00616,99.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,45.9,54.1,4.3,2.8,4.0,6.3,8.5,13.4,11.4,18.3,6.2,4.3,11.4,6.2,2.9
ZCTA5 00617,99.5,0.3,0.0,0.0,0.0,0.0,0.2,0.1,47.4,52.6,4.7,4.6,7.2,6.9,6.4,13.0,14.0,12.9,4.7,6.6,10.7,6.4,1.9
ZCTA5 00622,99.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,41.8,58.2,2.0,2.1,5.2,5.3,5.0,11.2,7.7,18.4,7.9,4.1,15.7,11.4,3.9
ZCTA5 00623,99.6,0.3,0.0,0.0,0.1,0.0,0.0,0.0,48.2,51.8,3.9,5.6,6.0,6.6,6.8,11.0,13.5,13.4,5.9,6.1,11.5,7.5,2.1
ZCTA5 00624,99.5,0.4,0.0,0.0,0.0,0.0,0.0,0.1,48.8,51.2,5.7,6.7,6.3,7.1,6.6,13.0,12.0,12.9,6.9,6.8,9.5,5.4,1.2
ZCTA5 00627,98.9,1.0,0.1,0.0,0.0,0.0,0.0,0.0,47.8,52.2,4.2,4.9,6.1,6.6,7.1,12.0,12.7,14.1,6.3,6.9,11.5,5.3,2.4
ZCTA5 00631,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6,50.4,0.7,5.5,5.1,3.4,5.9,14.7,11.8,8.1,8.4,5.7,12.9,12.9,4.7
ZCTA5 00637,99.7,0.3,0.0,0.0,0.0,0.0,0.1,0.0,46.9,53.1,4.5,5.0,6.5,7.4,6.9,10.3,12.2,12.4,6.0,6.7,12.2,7.6,2.2
ZCTA5 00638,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1,51.9,5.1,5.7,6.1,5.9,6.2,12.2,11.3,12.1,6.7,8.2,11.3,7.1,2.0
ZCTA5 00641,99.3,0.5,0.1,0.0,0.0,0.0,0.2,0.0,48.6,51.4,4.2,4.8,6.0,6.7,6.6,11.9,11.1,13.5,7.2,7.2,11.8,6.4,2.5
ZCTA5 00646,97.8,2.1,0.0,0.0,0.1,0.0,0.0,0.0,47.5,52.5,4.7,6.0,6.8,7.2,6.6,11.2,14.5,14.5,5.5,6.1,10.2,4.9,1.7
ZCTA5 00647,99.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,50.5,49.5,6.8,2.5,7.2,5.7,8.2,9.1,10.7,13.2,5.3,5.7,14.6,6.4,4.6
ZCTA5 00650,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.2,51.8,5.2,5.2,6.9,7.4,7.5,12.0,13.5,13.0,4.9,6.1,10.9,5.1,2.2
ZCTA5 00652,98.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,48.0,52.0,3.0,5.2,5.7,6.6,6.9,10.2,16.1,13.2,5.8,4.7,10.5,8.6,3.3
ZCTA5 00653,98.5,1.3,0.0,0.0,0.0,0.0,0.2,0.0,46.9,53.1,4.0,4.7,8.1,6.5,7.8,10.4,12.8,11.2,5.4,7.4,13.0,7.5,1.2
ZCTA5 00656,99.4,0.4,0.0,0.0,0.2,0.0,0.0,0.0,47.7,52.3,4.6,5.3,6.9,6.8,6.5,12.3,12.2,12.4,5.5,7.5,11.7,6.1,2.2
