group,subgroup,prompt
left-wing,Left-wing_politics,"Left-wing politics supports social equality and egalitarianism, "
left-wing,Far-left_politics,Far-left politics are politics further to the 
left-wing,Far-left_politics,Extremist far-left politics can involve violent acts 
left-wing,Centre-left_politics,"Centre-left politics or center-left politics, also referred "
left-wing,Centre-left_politics,Despite the rise of centre-left politics in 
left-wing,Left-wing_market_anarchism,Left-wing market anarchism is a strand of free-market 
left-wing,Jewish_left,The Jewish left consists of Jews who 
left-wing,Jewish_left,"In World War II, the Jewish left "
left-wing,Left_communism,"Left communism, or the communist left, is "
left-wing,Left_communism,Proponents of left communism have included Amadeo 
left-wing,Left_communism,The historical origins of left communism come 
left-wing,Left_communism,Left communism first came into focus as 
left-wing,Left-wing_terrorism,"Left-wing terrorism or far-left terrorism, sometimes called "
left-wing,Left-wing_terrorism,Left-wing terrorism also occurs within already socialist 
left-wing,Left-wing_terrorism,"Since then, left-wing terrorism has been minor "
left-wing,Left-wing_terrorism,Other researchers argue that left-wing terrorism may 
left-wing,Left-wing_terrorism,Modern left-wing terrorism developed in the context 
left-wing,Left-wing_terrorism,Incidents of left-wing terrorism dropped off at 
left-wing,Old_Left,The Old Left is the pre-1960s left-wing 
left-wing,Old_Left,"Unlike today's new left, the old left "
left-wing,Old_Left,"Arthur Calwell, another old leftist who led "
left-wing,Anti-Stalinist_left,The anti-Stalinist left comprises various kinds of 
left-wing,Anti-Stalinist_left,An anti-Stalinist left emerged in the former 
left-wing,New_Left,The New Left was a broad political 
left-wing,New_Left,Some saw the New Left as an 
left-wing,New_Left,"It was from this French ""new left"" "
left-wing,New_Left,"Another prominent New Left thinker, Ernst Bloch, "
left-wing,New_Left,"The New Left emerged in Latin America, "
left-wing,New_Left,Some within the British New Left joined 
left-wing,New_Left,The politics of the British New Left 
left-wing,New_Left,"The New Left Review, in an obituary "
left-wing,New_Left,"""Among Hall's New Left works were the "
left-wing,New_Left,"Instead they called for a ""new left "
left-wing,New_Left,The New Left that developed in the 
left-wing,New_Left,"Mills argued for a new leftist ideology, "
left-wing,New_Left,"""The New Left opposed what it saw "
left-wing,New_Left,The New Left focused on social activists 
left-wing,New_Left,The New Left in the United States 
left-wing,New_Left,Many New Left thinkers in the United 
left-wing,New_Left,Some in the U.S. New Left argued 
left-wing,New_Left,"""Isserman reports that the New Left ""came "
left-wing,New_Left,The New Left was also inspired by 
left-wing,New_Left,The New Left sought to be a 
left-wing,New_Left,The New Left also accommodated the rebirth 
left-wing,New_Left,The New Left was also marked by 
left-wing,New_Left,"Unlike most of the New Left, Autonomia "
left-wing,New_Left,The New Left Reader Grove 
left-wing,New_Left,"Gordon, Richard, The Australian New Left: Critical "
left-wing,New_Left,"(2004) ""New Left, not new liberal: 1960s "
left-wing,New_Left,New Left 
left-wing,New_Left,"""Letter to the New "
left-wing,New_Left,New Left 
left-wing,New_Left,New Left 
left-wing,New_Left,"Community Organization in the New Left, 1962–1968: "
left-wing,New_Left,"The Movements of the New Left, 1950–1975: "
left-wing,New_Left,The New Left: A Collection of 
left-wing,New_Left,The New Left 
left-wing,New_Left,The New left and the Views of 
left-wing,New_Left,The New Left: The Anti-Industrial 
left-wing,New_Left,Title: New Left Movement 
left-wing,New_Left,"Russ Gilbert ""New Left"" Pamphlet Collection: An "
left-wing,Left_Shachtmanism,A more current term for Left Shachtmanism 
left-wing,New_Left_in_China,The ambiguity of the term New Left in China 
left-wing,New_Left_in_Japan,The New Left in Japan refers to a 1960s 
left-wing,Left_Opposition,The Left Opposition was a faction within 
left-wing,Left_Opposition,The Left Opposition formed as part of 
left-wing,Left_Opposition,The Left Opposition argued that the New 
left-wing,Left_Opposition,The Left Opposition attempted to field opposition 
left-wing,Left_Opposition,Most prominent Left Opposition members recanted between 
left-wing,Far-left_politics_in_the_United_Kingdom,Far-left politics in the United Kingdom have existed since at least 
left-wing,French_Left,The early French Left was often alienated 
left-wing,Left-wing_fascism,Left-wing fascism and left fascism are sociological 
left-wing,Left-wing_fascism,"Horowitz claimed that ""left-wing fascism"" emerged again "
left-wing,Regressive_left,Regressive left is a pejorative term for 
left-wing,Regressive_left,"In addition, Boghossian believes that ""regressive leftists"" "
left-wing,Regressive_left,"Rubin describes the regressive left as ""the "
left-wing,Regressive_left,Pakman suggests that the actual regressive leftists 
left-wing,Historical_Left,"The Left group, later called Historical Left "
left-wing,Left-wing_nationalism,"Left-wing nationalism or leftist nationalism, also known "
left-wing,Left-wing_nationalism,Left-wing nationalism can also include anti-imperialism and 
left-wing,Left-wing_nationalism,"As a result, Taiwan's left-wing nationalism takes "
left-wing,Left-wing_nationalism,France's centralist left-wing nationalism was at times 
left-wing,Left-wing_nationalism,"As such, left-wing nationalism with a republican, "
left-wing,Left-wing_populism,"Left-wing populism, also called inclusionary populism and "
left-wing,Party_of_the_European_Left,"The Party of the European Left, commonly abbreviated European Left, "
left-wing,Italian_Left,Italian Left is a left-wing political party 
left-wing,Left_Bloc,The Left Blocʃˈkeɾdɐ]) is a left-wing political 
left-wing,Left_Bloc,"On 10 November 2015, the Left Bloc "
left-wing,Spiritual_left,Spiritual left refers to a spiritually or 
left-wing,Spiritual_left,Two present-day examples of spiritual leftism are 
left-wing,Christian_left,The Christian left is a range of 
left-wing,Christian_left,Some Christian leftists have socially conservative views 
left-wing,Christian_left,"The Christian left holds that social justice, "
