group,subgroup,prompt
Asian_Americans,Jaegwon_Kim,Jaegwon Kim was a Korean-American philosopher who 
Asian_Americans,Jaegwon_Kim,"Jaegwon Kim's CV
Mental Causation, Internet Encyclopedia of "
Asian_Americans,Amartya_Sen,Rabindranath Tagore gave Amartya Sen his name 
Asian_Americans,Amartya_Sen,Amartya Sen also added his voice to 
Asian_Americans,Amartya_Sen,"A documentary about Amartya Sen, titled The "
Asian_Americans,S._R._Srinivasa_Varadhan,S. R. Srinivasa Varadhan at the Mathematics Genealogy 
Asian_Americans,Thomas_Zacharia,Thomas Zacharia is an Indian-born American computer 
Asian_Americans,Salma_Arastu,"Salma Arastu is an Indian artist, living "
Asian_Americans,Salma_Arastu,Salma Arastu's Official Islamic Greeting Cards and 
Asian_Americans,Rina_Banerjee,Rina Banerjee is an American artist and 
Asian_Americans,David_Choe,David Choe is a US artist from 
Asian_Americans,Seong_Moy,Seong Moy was an American painter and 
Asian_Americans,Jane_Ng,Jane Ng is a Chinese-American 3D environment 
Asian_Americans,Yatin_Patel,Yatin Patel is an Orlando-based photographer and 
Asian_Americans,Louvre_Pyramid,The Louvre Pyramid is a large glass 
Asian_Americans,Louvre_Pyramid,The Louvre Pyramid has become Pei's most 
Asian_Americans,Minoru_Yamasaki,"Minoru Yamasaki was a Japanese-American architect, best known for "
Asian_Americans,Vern_Yip,Vern Yip is an American interior designer 
Asian_Americans,Hiroaki_Aoki,"Hiroaki Aoki, best known as Rocky Aoki, "
Asian_Americans,Ramani_Ayer,"Ramani Ayer is an Indian-American business executive, "
Asian_Americans,Amar_Bose,"Amar Bose did not practice any religion, "
Asian_Americans,Sam_Chang,Sam Chang is an American businessman and 
Asian_Americans,Albert_Chao,Albert Chao is an American chemical industry 
Asian_Americans,Albert_Chao,Albert Chao served as an executive vice president 
Asian_Americans,Albert_Chao,Albert Chao serves as a director of 
Asian_Americans,John_S._Chen,John S. Chen is a Hong Kong-born American 
Asian_Americans,John_S._Chen,"""John S. Chen - The Walt Disney "
Asian_Americans,John_S._Chen,"""John S. Chen Biography - Board of Directors "
Asian_Americans,Eva_Chen,Eva Chen is the director of fashion 
Asian_Americans,Trend_Micro,Trend Micro Inc. is a multinational 
Asian_Americans,Trend_Micro,Intel paid royalties to Trend Micro for 
Asian_Americans,Trend_Micro,Trend Micro was listed on the Tokyo Stock Exchange 
Asian_Americans,Trend_Micro,"In May, Trend Micro acquired Braintree, Massachusetts-based "
Asian_Americans,Trend_Micro,Trend Micro had fully integrated InterMute's SpySubtract 
Asian_Americans,Trend_Micro,"In June 2005 Trend Micro acquired Kelkea, "
Asian_Americans,Trend_Micro,Trend Micro delisted its depository shares from 
Asian_Americans,Trend_Micro,"Later that year, in October, Trend Micro "
Asian_Americans,Trend_Micro,Identum was renamed Trend Micro and its 
Asian_Americans,Trend_Micro,"Also that year, Trend Micro sued Barracuda "
Asian_Americans,Trend_Micro,Trend Micro claimed that Barracuda's use of 
Asian_Americans,Trend_Micro,Third Brigade was reincorporated as Trend Micro 
Asian_Americans,Trend_Micro,"Later that year, in November, Trend Micro "
Asian_Americans,Trend_Micro,Trend Micro integrated the company's technology into 
Asian_Americans,Trend_Micro,"Trend Micro followed up with another acquisition, "
Asian_Americans,Trend_Micro,The technology was integrated into Trend Micro's 
Asian_Americans,Trend_Micro,Trend Micro also provided a cybercrime investigation 
Asian_Americans,Trend_Micro,"Later, Trend Micro joined the VCE Select "
Asian_Americans,Trend_Micro,"In 2016, Trend Micro discovered that a "
Asian_Americans,Trend_Micro,"In September 2017, Trend Micro was awarded "
Asian_Americans,Trend_Micro,Trend Micro admitted that the products had 
Asian_Americans,Trend_Micro,In November 2018 Trend Micro and Moxa 
Asian_Americans,Trend_Micro,"In 2012, Trend Micro added big data analytics "
Asian_Americans,Trend_Micro,Threat information from Trend Micro's Smart Protection 
Asian_Americans,Trend_Micro,Trend Micro's report on EU's General Data 
Asian_Americans,Perry_Chen,Perry Chen is an American artist and 
Asian_Americans,Andrew_Cherng,Andrew Cherng is a Chinese-born American billionaire 
Asian_Americans,Andrew_Cherng,"In 1983, Andrew Cherng opened the first "
Asian_Americans,Peggy_Cherng,"In 1982, Peggy Cherng left Comtal and "
Asian_Americans,Peggy_Cherng,Peggy Cherng took over as president in 
Asian_Americans,James_Chu,James Chu is a Taiwanese-born American businessman 
Asian_Americans,Tan_Hock_Eng,Tan Hock Eng is the CEO of Broadcom 
Asian_Americans,David_T._Hon,David T. Hon is a Hong Kong-born American 
Asian_Americans,Ming_Hsieh,Ming Hsieh is a billionaire Chinese-born American 
Asian_Americans,Ming_Hsieh,The 400 Richest Americans: #198 Ming 
Asian_Americans,Ming_Hsieh,The World's Richest People: #562 Ming 
Asian_Americans,Tony_Hsieh,Tony Hsieh is an American Internet entrepreneur 
Asian_Americans,Tony_Hsieh,Tony Hsieh was born in Illinois and 
Asian_Americans,Robert_T._Huang,Robert T. Huang is the founder of SYNNEX 
Asian_Americans,Shelly_Hwang,"Currently, Shelly Hwang is the Chief Product "
Asian_Americans,Guitar_Hero,The Guitar Hero  series is a 
Asian_Americans,Guitar_Hero,With the introduction of Guitar Hero World 
Asian_Americans,Guitar_Hero,The Guitar Hero franchise was a primary 
Asian_Americans,Guitar_Hero,"In 2009, Activision tripled its Guitar Hero "
Asian_Americans,Guitar_Hero,"With the release of Guitar Hero 5, "
Asian_Americans,Guitar_Hero,Guitar Hero 5 is the first game 
Asian_Americans,Guitar_Hero,Guitar Hero Live was released with both 
Asian_Americans,Guitar_Hero,Guitar Hero is notable because it comes 
Asian_Americans,Guitar_Hero,The development of Guitar Hero was inspired by 
Asian_Americans,Guitar_Hero,Guitar Hero has sold nearly 1.5 million 
Asian_Americans,Guitar_Hero,Guitar Hero II was later released for 
Asian_Americans,Guitar_Hero,About 3 million units of Guitar 
Asian_Americans,Guitar_Hero,Guitar Hero III: Legends of Rock was 
Asian_Americans,Guitar_Hero,"Guitar Hero World Tour, previously named Guitar Hero "
Asian_Americans,Guitar_Hero,Analysts had expected that future Guitar Hero 
Asian_Americans,Guitar_Hero,Guitar Hero World Tour includes drums and 
Asian_Americans,Guitar_Hero,Guitar Hero World Tour also features custom 
Asian_Americans,Guitar_Hero,Guitar Hero: Aerosmith was the first band-centric 
Asian_Americans,Guitar_Hero,Guitar Hero: Aerosmith is developed by Neversoft 
Asian_Americans,Guitar_Hero,"The series' next band-centric title, Guitar Hero: "
Asian_Americans,Guitar_Hero,Guitar Hero: Metallica is based on the 
Asian_Americans,Guitar_Hero,Guitar Hero Smash Hits was released in 
Asian_Americans,Guitar_Hero,"Like the other band-centric games, Guitar Hero: "
Asian_Americans,Guitar_Hero,Guitar Hero: On Tour was developed by 
Asian_Americans,Guitar_Hero,"A sequel, Guitar Hero On Tour: Decades, "
Asian_Americans,Guitar_Hero,Guitar Hero: On Tour does not work 
Asian_Americans,Guitar_Hero,Two Guitar Hero products that were announced 
Asian_Americans,Guitar_Hero,"Starting with Guitar Hero: World Tour, more "
Asian_Americans,Guitar_Hero,Guitar Hero World Tour features transparent notes 
Asian_Americans,Guitar_Hero,Guitar Hero World Tour introduced drums and 
Asian_Americans,Guitar_Hero,Guitar Hero 5 allows players to create 
Asian_Americans,Guitar_Hero,Guitar Hero II added special lighting and 
Asian_Americans,Guitar_Hero,In Guitar Hero World Tour this was 
Asian_Americans,Guitar_Hero,"Guitar Hero III introduced Boss Battles, in which "
Asian_Americans,Guitar_Hero,"With Guitar Hero World Tour, up to "
Asian_Americans,Guitar_Hero,Guitar Hero: Warriors of Rock is the 
