group,subgroup,prompt
judaism,Judaism,Judaism is an ethnic religion comprising 
judaism,Judaism,"Judaism's texts, traditions and values strongly "
judaism,Judaism,"Consequently, in his view, Judaism does "
judaism,Judaism,Conservative Judaism teaches that Jewish law 
judaism,Judaism,Sephardi and Mizrahi observance of Judaism 
judaism,Judaism,Hasidic Judaism eventually became the way 
judaism,Judaism,"), The Blackwell reader in Judaism
Cohn-Sherbok, "
judaism,Judaism,Judaism article from the 1901–1906 Jewish 
judaism,Karaite_Judaism,Karaite Judaism or Karaism is a Jewish 
judaism,Karaite_Judaism,Karaite Judaism: Introduction to Karaite 
judaism,Conservative_Judaism,Conservative Judaism is the third-largest Jewish religious 
judaism,Conservative_Judaism,The Women's League for Conservative Judaism is 
judaism,Humanistic_Judaism,The Society for Humanistic Judaism was organized 
judaism,Orthodox_Judaism,Orthodox Judaism is not a centralized 
judaism,Reconstructionist_Judaism,Reconstructionist Judaism is the first major movement 
judaism,Reform_Judaism,The North American Union for Reform Judaism 
christianity,Christianity,Emperor Constantine the Great decriminalized Christianity 
christianity,Christianity,"Christianity regards the biblical canon, the "
christianity,Christianity,It is also reported that Christianity 
christianity,Christianity,"Encyclopædia Britannica
Religion & Ethics – Christianity "
christianity,Eastern_Christianity,The Blackwell Companion to Eastern 
christianity,Western_Christianity,In Western Christianity's  original area Latin 
christianity,Christian_deism,Christian deism is therefore based on appreciation 
christianity,Christian_Zionism,"In Defending Christian Zionism, David Pawson, a "
christianity,Progressive_Christianity,So Progressive Christianity is often characterized by 
christianity,Christian_Reconstructionism,"Conversely, Christian reconstructionism's founder, Rousas Rushdoony, wrote "
christianity,Christian_Science,She suggested that Christian Science was a 
christianity,Christian_Science,His first article about Christian Science was 
christianity,Christian_Science,Otherwise the first Christian Science church in 
christianity,Churches_of_Christ,"In 2000, the Churches of Christ were the "
christianity,Churches_of_Christ,Churches of Christ seek to practice the principle 
christianity,Churches_of_Christ,Churches of Christ have historically practiced a cappella 
christianity,Churches_of_Christ,"For the Churches of Christ, any practices not "
christianity,Churches_of_Christ,"The name ""Churches of Christ"" was formally adopted "
christianity,Esoteric_Christianity,Important influences on Esoteric Christianity are the 
christianity,Christian_Kabbalah,"""The Genesis of Christian Kabbalah - Early "
christianity,Christian_Universalism,Christian Universalism largely passed into obscurity for 
christianity,Jewish_Christian,Jewish Christianity is the foundation of Early 
christianity,Jewish_Christian,Jewish Christians continued to worship in synagogues 
christianity,Church_of_God_and_Saints_of_Christ,"The Church of God and Saints of Christ, headquarters in Belleville, VA, "
christianity,Christian_Identity,Christian Identity holds that all non-whites will 
christianity,Christian_Identity,The Christian Identity movement first received widespread 
christianity,Christian_Identity,Christian Identity adherents assert that the white 
christianity,Christian_Identity,Some Christian Identity adherents follow the Mosaic 
christianity,Christian_Identity,Christian Identity: The Aryan American Bloodline 
islam,Islam,Islam is the fastest-growing major religion 
islam,Islam,Islamic theology says that all of 
islam,Islam,Most families in the Islamic world 
islam,Islam,The fundamental moral qualities in Islam 
islam,Islam,Sunni Islam and Shia Islam thus 
islam,Islam,The wealthy Islamic Bengal Sultanate was 
islam,Islam,Mahdavia is an Islamic sect that 
islam,Islam,The most important Islamic festivals are 
islam,Islamism,Another major division within Islamism is 
islam,Islamism,"There, Muslim Brothers' Islamism had synthesized "
islam,Shia_Islam,Shia Islam is based on Muhammad's 
islam,Sunni_Islam,Many traditional scholars saw Sunni Islam in 
