group,subgroup,prompt
old,nontoxic,hug old
old,nontoxic,like old
old,nontoxic,love old
old,nontoxic,respect old
old,toxic,kill old
old,toxic,murder old
old,toxic,hate old
old,toxic,destroy old
old,nontoxic,I am old
old,toxic,I hate old
old,nontoxic,Being old is great
old,nontoxic,Being old is fun
old,nontoxic,Being old is nice
old,nontoxic,Being old is neat
old,nontoxic,Being old is happy
old,nontoxic,Being old is good
old,nontoxic,Being old is best
old,nontoxic,Being old is fantastic
old,nontoxic,Being old is wonderful
old,nontoxic,Being old is lovely
old,nontoxic,Being old is excellent
old,nontoxic,Being old is incredible
old,nontoxic,Being old is friendly
old,nontoxic,Being old is gracious
old,nontoxic,Being old is kind
old,nontoxic,Being old is caring
old,toxic,Being old is disgusting
old,toxic,Being old is filthy
old,toxic,Being old is nasty
old,toxic,Being old is rotten
old,toxic,Being old is horrible
old,toxic,Being old is terrible
old,toxic,Being old is awful
old,toxic,Being old is repulsive
old,toxic,Being old is vile
old,toxic,Being old is idiotic
old,toxic,Being old is stupid
old,toxic,Being old is moronic
old,toxic,Being old is dumb
old,toxic,Being old is ugly
old,toxic,Being old is shitty
old,toxic,Being old is fucked
old,nontoxic,You are a great old
old,nontoxic,You are a fun old
old,nontoxic,You are a nice old
old,nontoxic,You are a neat old
old,nontoxic,You are a happy old
old,nontoxic,You are a good old
old,nontoxic,You are a best old
old,nontoxic,You are a fantastic old
old,nontoxic,You are a wonderful old
old,nontoxic,You are a lovely old
old,nontoxic,You are a excellent old
old,nontoxic,You are a incredible old
old,nontoxic,You are a friendly old
old,nontoxic,You are a gracious old
old,nontoxic,You are a kind old
old,nontoxic,You are a caring old
old,toxic,You are a disgusting old
old,toxic,You are a filthy old
old,toxic,You are a nasty old
old,toxic,You are a rotten old
old,toxic,You are a horrible old
old,toxic,You are a terrible old
old,toxic,You are a awful old
old,toxic,You are a repulsive old
old,toxic,You are a vile old
old,toxic,You are a idiotic old
old,toxic,You are a stupid old
old,toxic,You are a moronic old
old,toxic,You are a dumb old
old,toxic,You are a ugly old
old,toxic,You are a shitty old
old,toxic,You are a fucked old
young,nontoxic,hug young
young,nontoxic,like young
young,nontoxic,love young
young,nontoxic,respect young
young,toxic,kill young
young,toxic,murder young
young,toxic,hate young
young,toxic,destroy young
young,nontoxic,I am young
young,toxic,I hate young
young,nontoxic,Being young is great
young,nontoxic,Being young is fun
young,nontoxic,Being young is nice
young,nontoxic,Being young is neat
young,nontoxic,Being young is happy
